days_since_last_offense,speed_recorded,zone_type,weather_conditions,cumulative_active_demerit_points,past_fine_payment_delays_days,reoffended_within_180_days
285,62.79,residential,clear,12,6.35,0
243,66.78,highway,rain,16,7.45,0
172,77.56,school_zone,clear,18,2.63,1
258,46.74,highway,clear,5,1.94,0
101,82.58,highway,fog,9,2.1,0
285,97.35,residential,clear,27,11.59,1
203,83.86,urban,night,0,7.22,0
167,46.22,urban,clear,29,3.74,0
185,75.52,urban,clear,29,10.29,1
208,92.84,highway,clear,7,2.61,0
13,40.44,highway,clear,9,4.61,1
51,56.5,highway,fog,6,1.68,0
89,95.53,urban,rain,17,9.98,1
41,83.4,urban,clear,6,2.42,0
160,86.24,residential,clear,24,2.47,0
244,115.19,urban,rain,12,6.45,0
239,87.37,residential,fog,29,0.4,0
172,91.16,urban,clear,26,1.33,0
312,132.21,highway,clear,12,8.17,0
206,73.72,highway,clear,18,2.07,0
28,62.04,school_zone,clear,0,20.82,0
279,86.56,urban,clear,2,5.55,0
210,86.78,residential,clear,15,0.82,0
232,67.47,highway,clear,14,13.56,0
206,57.35,highway,clear,12,5.54,1
202,124.2,highway,clear,2,4.2,0
33,84.54,urban,night,26,5.53,1
204,63.35,highway,rain,12,0.81,1
290,96.32,urban,clear,14,4.73,0
111,75.82,urban,clear,12,2.21,0
220,72.94,highway,clear,15,4.51,0
11,89.25,highway,fog,20,3.29,0
127,52.16,urban,rain,23,5.31,1
159,85.05,urban,clear,17,3.74,0
359,116.26,urban,night,5,3.12,0
78,87.32,urban,fog,27,1.99,1
101,70.48,highway,fog,8,0.86,0
149,67.86,urban,clear,0,0.66,0
363,69.79,residential,clear,1,1.38,1
312,72.92,urban,rain,23,7.73,1
12,70.44,urban,clear,11,1.88,0
85,96.33,residential,rain,0,2.69,0
300,43.34,urban,fog,25,2.71,0
21,95.24,urban,clear,9,3.34,1
313,70.41,residential,clear,30,6.79,1
102,85.54,residential,clear,27,3.71,1
335,55.46,school_zone,clear,1,8.78,1
107,104.57,urban,rain,21,1.4,1
158,102.91,highway,rain,18,8.14,0
242,97.19,residential,clear,5,12.48,1
46,47.7,residential,rain,10,4.69,1
203,94.58,urban,clear,15,1.75,1
184,86.1,urban,rain,4,6.89,1
286,45.89,urban,clear,22,4.75,0
364,77.51,urban,rain,8,6.02,0
243,85.29,highway,rain,29,8.96,1
149,89.12,urban,clear,24,3.48,0
148,81.55,urban,rain,19,3.03,0
152,83.82,urban,fog,3,23.54,1
297,107.47,highway,clear,0,6.95,0
117,102.52,urban,rain,4,10.08,1
61,20.66,urban,night,15,8.6,1
122,71.65,urban,fog,24,10.17,0
8,74.71,residential,clear,4,6.18,0
38,42.96,urban,rain,21,9.33,1
32,79.88,highway,night,1,2.7,1
282,102.98,urban,rain,8,0.83,0
264,56.27,urban,clear,18,2.12,0
255,84.73,urban,clear,25,4.22,1
169,59.68,urban,fog,24,3.78,0
262,64.56,urban,clear,16,4.77,0
59,107.55,highway,clear,1,2.56,1
329,67.15,highway,clear,9,0.48,0
183,87.24,urban,fog,24,3.39,1
343,40.58,urban,clear,2,1.22,0
55,115.25,highway,fog,21,4.61,1
182,90.05,urban,rain,21,6.4,1
254,74.35,urban,night,23,3.34,0
181,89.51,urban,fog,6,1.64,1
163,49.8,urban,clear,7,4.96,0
60,101.65,highway,rain,6,24.39,1
139,71.52,residential,clear,12,6.95,1
87,73.92,residential,night,16,7.34,0
110,68.17,residential,clear,3,3.05,0
250,66.39,urban,rain,17,2.27,1
230,91.89,urban,fog,7,10.19,0
222,83.12,urban,clear,17,0.27,0
132,91.03,urban,fog,9,2.49,0
351,77.82,urban,clear,29,14.43,0
32,88.26,urban,clear,9,4.39,1
125,69.62,highway,clear,27,0.96,1
43,122.59,urban,clear,5,6.54,0
124,46.64,urban,rain,2,3.36,0
352,103.22,school_zone,night,5,0.73,0
134,105.36,urban,clear,13,5.65,1
332,60.96,residential,rain,27,5.03,0
181,122.59,urban,fog,5,4.81,1
256,97.91,highway,fog,24,6.88,0
167,97.42,urban,clear,21,1.54,0
97,78.56,highway,night,10,6.09,1
279,73.66,urban,clear,10,5.31,0
354,73.81,urban,rain,29,10.04,0
96,85.81,highway,rain,22,2.46,1
285,106.02,urban,fog,7,11.28,1
95,81.63,urban,clear,28,8.49,1
262,59.77,residential,clear,12,4.26,0
288,94.49,urban,fog,2,4.8,0
164,96.42,highway,clear,25,0.31,1
269,91.09,highway,clear,26,4.7,0
99,92.91,urban,rain,13,8.08,1
29,72.58,highway,rain,21,3.74,1
35,59.42,urban,clear,7,10.02,0
163,60.64,school_zone,clear,26,6.62,0
330,45.29,urban,night,11,17.43,1
46,82.74,urban,clear,8,2.62,0
166,76.33,urban,clear,15,7.53,1
257,69.2,residential,clear,8,1.26,1
74,18.89,school_zone,clear,19,4.03,0
264,53.05,residential,night,23,6.91,1
111,100.42,highway,clear,12,7.87,0
295,64.71,highway,clear,24,3.5,0
211,85.21,highway,clear,13,10.78,0
200,50.19,residential,clear,30,12.42,1
64,106.77,highway,clear,8,2.65,1
169,75.12,urban,night,21,4.13,0
313,83.8,highway,rain,16,3.79,0
7,124.52,highway,clear,29,3.05,1
277,108.33,urban,clear,6,11.89,1
180,71.87,urban,clear,6,11.8,1
263,66.14,urban,clear,26,3.9,0
242,71.49,school_zone,rain,27,7.51,0
158,88.2,urban,clear,23,9.94,1
112,75.9,school_zone,rain,14,5.71,0
229,70.1,urban,fog,12,3.66,0
51,107.34,school_zone,clear,20,2.48,0
213,75.72,urban,night,23,8.03,1
34,123.99,residential,clear,8,1.37,1
237,79.81,highway,clear,0,3.74,0
230,113.71,urban,fog,2,3.22,1
30,85.15,urban,clear,10,1.28,0
277,97.26,urban,rain,21,4.4,0
152,63.51,urban,rain,13,4.06,1
288,60.92,school_zone,clear,19,2.03,1
15,87.19,residential,fog,14,11.59,1
65,97.77,highway,clear,7,8.07,0
180,78.81,highway,fog,23,4.86,1
68,52.27,urban,clear,22,8.96,0
120,50.79,school_zone,clear,29,10.48,1
241,49.46,school_zone,clear,25,11.95,0
52,42.65,urban,fog,11,2.61,0
248,80.19,residential,clear,21,8.96,1
37,100.5,urban,fog,10,4.07,1
64,77.73,school_zone,clear,27,5.56,0
215,32.79,residential,clear,18,2.73,0
290,74.18,school_zone,clear,25,4.69,0
62,74.74,urban,clear,8,9.05,0
109,119.92,highway,night,0,14.05,0
338,48.86,urban,clear,4,4.33,0
362,70.19,school_zone,rain,16,2.09,0
212,112.12,urban,rain,29,15.47,0
163,87.0,highway,clear,19,2.52,1
126,89.27,residential,rain,25,0.86,1
224,80.29,urban,fog,14,2.93,0
216,84.6,urban,rain,29,10.13,0
107,93.55,highway,clear,29,2.37,1
8,61.81,urban,rain,6,1.61,0
55,95.56,urban,rain,26,5.17,1
350,50.54,urban,clear,0,14.05,0
153,84.57,urban,rain,18,6.72,0
176,81.57,highway,clear,13,1.35,0
170,65.67,highway,fog,9,19.15,0
286,77.55,urban,night,28,6.14,0
23,65.55,highway,night,20,9.42,1
30,56.57,urban,fog,4,1.06,1
100,70.93,urban,rain,4,17.03,0
178,55.92,school_zone,rain,3,3.45,1
245,84.46,urban,clear,9,0.96,0
179,55.0,highway,clear,2,5.65,0
161,92.24,residential,clear,8,9.42,1
343,54.37,highway,clear,23,7.48,0
58,66.67,highway,night,27,7.38,1
209,65.51,urban,fog,24,7.0,0
198,104.5,urban,clear,15,5.27,1
173,84.61,urban,clear,21,1.05,0
295,73.77,school_zone,rain,29,4.03,1
97,87.97,school_zone,clear,1,3.58,0
349,35.86,urban,fog,28,11.98,1
121,77.14,urban,night,22,10.14,0
199,117.95,urban,clear,11,3.2,0
190,80.65,highway,clear,13,8.39,1
311,79.36,highway,clear,13,4.5,0
160,88.96,highway,clear,4,0.86,1
104,95.91,residential,clear,7,0.31,1
7,38.05,urban,clear,9,7.69,0
133,44.35,highway,clear,0,1.82,0
302,82.21,highway,clear,15,1.81,0
3,63.7,urban,clear,14,2.58,1
327,104.24,residential,rain,10,7.81,0
198,71.7,urban,clear,5,10.24,1
51,39.31,school_zone,fog,30,10.09,1
110,52.64,school_zone,clear,21,0.74,1
202,23.01,residential,clear,14,2.48,0
115,73.32,highway,clear,22,2.13,0
39,74.23,urban,rain,11,7.81,0
243,69.51,school_zone,clear,6,2.52,0
246,99.58,school_zone,clear,20,4.25,1
43,101.97,highway,clear,23,8.32,1
102,74.59,school_zone,night,20,4.93,0
89,35.31,urban,clear,17,6.12,1
241,90.35,highway,clear,0,4.12,0
267,89.11,residential,fog,19,9.51,1
266,84.19,urban,clear,19,10.18,1
343,97.63,highway,clear,12,7.0,0
281,54.7,residential,fog,7,10.21,1
117,118.18,school_zone,clear,30,23.38,1
39,58.81,residential,clear,11,8.22,0
224,92.98,urban,clear,8,4.63,1
335,44.25,residential,clear,21,6.23,1
356,59.39,urban,night,14,10.94,0
84,108.33,highway,rain,17,3.41,0
86,72.78,highway,rain,20,3.18,0
13,94.8,school_zone,clear,11,6.15,1
51,82.74,residential,rain,4,4.56,0
203,75.9,school_zone,rain,5,2.11,0
200,105.28,highway,clear,29,5.45,1
135,73.27,urban,fog,15,12.51,0
113,42.39,highway,rain,12,6.83,0
303,61.94,highway,fog,9,1.72,0
168,89.02,urban,clear,22,7.64,1
295,85.91,highway,clear,28,3.84,1
352,46.66,residential,rain,23,18.45,1
116,63.51,school_zone,fog,16,7.21,1
74,66.37,school_zone,clear,14,2.91,0
348,70.69,urban,clear,26,8.06,0
232,50.48,highway,fog,26,5.76,0
106,65.43,urban,clear,12,11.7,1
227,63.43,urban,clear,29,3.17,0
188,93.43,highway,rain,25,7.19,1
331,94.18,urban,clear,26,1.05,1
93,75.08,urban,clear,1,5.28,0
362,70.16,highway,clear,4,1.68,0
342,80.8,urban,night,9,5.61,0
66,61.67,urban,clear,23,6.58,0
60,55.06,urban,rain,2,6.99,0
195,59.2,highway,night,2,3.16,0
16,65.3,urban,rain,0,5.4,1
109,54.73,highway,clear,5,10.72,0
159,81.24,highway,clear,28,15.1,0
354,92.59,urban,clear,22,5.54,0
363,46.26,residential,rain,22,10.92,1
55,78.5,urban,night,9,2.28,1
326,73.6,highway,fog,19,3.6,1
33,84.83,urban,clear,24,6.01,0
273,77.74,highway,clear,16,4.58,0
309,48.93,urban,fog,26,4.21,0
326,52.75,residential,clear,17,10.15,0
81,78.59,urban,fog,10,1.95,0
327,98.58,highway,clear,19,2.15,1
42,33.72,urban,rain,29,1.42,1
189,84.91,urban,fog,25,6.15,0
171,101.79,urban,clear,15,3.84,0
115,74.94,highway,clear,18,9.47,1
8,89.0,highway,fog,30,5.76,0
282,63.94,residential,clear,23,3.1,0
122,75.61,school_zone,clear,15,2.71,1
242,45.58,residential,clear,8,4.37,0
150,31.11,urban,clear,28,1.7,1
136,96.86,school_zone,rain,30,10.31,1
324,58.3,highway,clear,2,3.69,0
34,68.89,highway,clear,0,1.18,0
269,50.27,residential,fog,3,11.75,1
273,49.8,highway,clear,11,4.42,0
139,74.52,residential,clear,4,7.6,0
96,63.41,school_zone,rain,27,3.14,1
1,85.56,urban,fog,28,12.03,1
342,87.05,highway,rain,5,2.39,1
346,84.42,highway,fog,25,3.84,0
88,82.77,residential,clear,4,0.8,0
11,109.56,school_zone,clear,24,11.83,1
44,56.65,urban,night,11,2.81,0
24,76.9,urban,fog,1,6.25,1
304,100.65,urban,rain,13,6.92,0
326,103.29,highway,clear,25,10.53,1
56,49.56,urban,clear,28,5.91,1
273,71.75,school_zone,clear,3,4.63,0
65,105.16,highway,fog,25,9.8,1
134,88.16,school_zone,fog,9,6.84,0
219,81.91,urban,clear,14,4.08,0
263,73.65,highway,clear,3,12.19,0
320,70.32,urban,clear,30,7.23,0
16,83.76,residential,clear,24,1.56,1
71,72.95,urban,rain,19,13.7,1
102,77.15,urban,rain,22,3.07,1
113,79.57,urban,clear,27,10.5,1
365,64.44,school_zone,rain,4,1.2,0
284,88.64,urban,night,7,9.75,0
117,136.28,highway,clear,1,1.66,0
355,42.46,school_zone,clear,15,5.79,0
182,84.48,school_zone,clear,15,7.08,0
183,62.8,urban,clear,0,4.15,0
158,89.55,urban,clear,20,5.06,0
52,78.93,urban,rain,0,2.02,1
341,93.24,urban,clear,24,9.05,1
5,101.51,highway,clear,21,6.02,1
63,81.85,urban,fog,25,2.38,1
84,100.64,urban,clear,3,6.2,0
102,31.11,urban,rain,26,6.34,0
48,109.81,highway,rain,16,5.25,1
6,85.5,urban,fog,26,0.32,1
248,99.56,highway,rain,21,3.68,0
354,53.6,urban,fog,20,8.96,0
44,61.38,residential,rain,0,7.37,0
108,80.92,highway,clear,21,7.21,1
185,77.66,urban,clear,13,5.99,1
339,83.66,urban,clear,26,9.69,1
254,99.69,urban,clear,21,3.06,0
280,42.7,urban,clear,2,2.52,0
212,97.48,urban,clear,27,16.04,1
152,78.17,residential,clear,1,2.79,0
73,73.92,highway,clear,9,1.51,1
316,48.58,urban,clear,6,4.09,0
294,88.06,highway,fog,30,5.4,0
9,29.72,urban,rain,4,9.73,1
261,90.97,residential,fog,26,3.69,1
30,48.16,urban,clear,6,3.67,0
270,79.07,school_zone,fog,20,5.03,0
302,75.62,school_zone,fog,2,3.19,0
47,101.39,urban,clear,12,1.22,1
158,74.43,urban,night,19,1.63,0
45,64.12,urban,clear,22,11.58,1
207,67.87,residential,rain,27,8.33,0
339,103.46,highway,fog,25,4.89,1
29,88.73,highway,clear,16,7.35,1
145,70.29,school_zone,rain,9,8.51,1
356,73.27,school_zone,clear,8,2.92,0
110,46.66,highway,clear,30,2.0,1
48,85.77,highway,clear,18,10.77,1
178,42.8,school_zone,clear,28,0.45,0
186,93.04,urban,clear,13,7.44,1
242,80.57,residential,rain,15,5.73,0
114,125.74,urban,clear,25,10.05,1
349,56.0,urban,clear,22,7.63,0
190,75.95,school_zone,rain,6,7.32,0
104,113.97,urban,clear,16,2.2,0
351,101.83,urban,clear,6,8.73,0
338,64.08,urban,fog,23,6.79,1
182,82.48,highway,night,0,2.47,1
9,78.04,school_zone,clear,25,5.77,1
218,83.64,urban,clear,28,1.79,0
203,64.03,urban,fog,0,4.38,0
54,76.21,highway,fog,19,20.44,1
232,46.04,residential,clear,2,2.09,1
307,80.7,urban,clear,11,1.2,0
38,87.0,residential,clear,10,1.65,1
264,73.45,residential,rain,16,4.33,0
51,45.7,urban,night,28,8.03,1
274,97.77,school_zone,rain,14,5.14,1
153,85.29,highway,clear,12,1.39,0
2,63.48,highway,rain,2,7.96,1
353,72.39,urban,fog,27,0.69,0
60,47.99,school_zone,clear,9,1.56,0
218,57.49,school_zone,fog,14,3.08,0
66,67.24,school_zone,clear,2,10.51,1
341,102.57,residential,clear,8,5.3,0
270,65.21,highway,rain,17,5.46,1
294,90.8,school_zone,clear,27,1.42,1
158,67.23,residential,night,10,3.34,1
171,82.96,urban,clear,17,9.48,0
232,75.17,urban,clear,27,6.48,1
287,95.46,urban,clear,11,8.17,1
309,67.3,residential,clear,9,4.87,0
6,46.55,urban,clear,1,9.55,0
242,50.36,school_zone,rain,28,1.41,0
39,67.36,urban,clear,3,4.24,0
105,53.02,urban,clear,6,7.2,0
303,86.2,highway,rain,4,0.97,1
91,68.68,urban,clear,21,0.21,1
291,125.49,residential,rain,11,16.05,0
169,43.25,urban,clear,21,5.36,0
85,82.07,residential,clear,18,0.86,0
122,55.44,urban,rain,0,5.25,1
194,68.13,residential,fog,9,1.58,1
280,80.83,highway,fog,0,2.2,1
221,31.49,urban,clear,2,10.76,0
341,82.74,urban,clear,14,3.14,0
317,116.06,urban,rain,8,3.12,0
275,68.93,highway,rain,2,1.53,1
220,83.2,school_zone,rain,12,3.73,1
106,98.5,urban,rain,14,5.62,1
151,74.72,urban,fog,30,3.14,0
43,66.38,highway,clear,20,18.89,1
136,32.49,highway,rain,12,1.93,0
339,90.82,highway,clear,14,1.92,0
155,75.74,highway,clear,2,3.61,1
41,57.75,school_zone,rain,11,17.41,1
238,80.53,residential,clear,18,8.26,0
352,66.33,urban,clear,0,3.05,1
317,67.43,urban,fog,28,3.05,0
100,90.13,urban,fog,15,1.86,1
166,51.23,highway,clear,24,3.52,0
194,98.95,urban,night,8,4.15,0
90,50.05,residential,clear,25,7.99,1
98,64.75,highway,fog,11,6.82,0
86,116.46,highway,clear,28,3.43,0
364,100.55,school_zone,clear,16,13.25,0
273,79.95,urban,clear,19,2.7,1
307,59.19,school_zone,clear,6,1.18,1
298,67.41,urban,clear,30,5.83,0
351,79.47,highway,clear,5,10.22,1
38,78.75,residential,rain,1,4.72,1
322,76.18,school_zone,clear,13,1.47,1
24,77.38,residential,clear,25,5.47,1
174,73.71,urban,night,28,6.01,1
217,49.16,school_zone,rain,26,6.49,0
130,67.67,highway,night,17,5.56,0
53,96.29,highway,clear,28,11.17,0
70,50.63,urban,clear,15,1.81,0
301,74.21,urban,rain,14,0.08,0
116,61.6,highway,rain,5,0.69,0
113,80.23,urban,clear,24,1.44,0
337,70.23,school_zone,fog,9,9.0,1
52,107.55,school_zone,rain,6,3.73,0
334,88.13,residential,rain,11,13.96,0
337,51.76,urban,clear,18,1.69,1
219,91.42,residential,rain,8,13.77,0
60,62.51,urban,clear,11,2.22,0
57,66.46,highway,night,10,4.14,1
104,84.28,school_zone,clear,18,0.87,0
211,68.17,urban,clear,22,12.54,0
56,95.86,urban,clear,20,4.61,1
166,62.51,urban,rain,4,19.45,0
42,65.62,highway,night,10,10.55,1
197,64.87,school_zone,fog,20,4.06,0
7,66.69,urban,rain,6,2.56,1
259,99.98,urban,night,2,9.29,0
20,90.58,highway,rain,9,5.0,1
71,112.2,urban,clear,21,2.44,1
63,123.35,school_zone,rain,20,5.29,0
304,57.39,residential,clear,4,0.56,0
19,79.41,school_zone,clear,20,6.58,1
157,54.48,residential,clear,6,7.54,0
216,62.45,highway,clear,22,1.63,0
188,65.4,school_zone,night,17,11.37,1
249,56.86,urban,night,3,9.75,0
293,56.96,urban,clear,10,6.14,0
144,75.11,highway,rain,25,2.07,1
303,53.67,urban,clear,13,7.87,0
116,94.84,residential,clear,21,3.57,0
360,59.64,highway,clear,23,5.67,0
184,134.19,residential,clear,0,8.42,0
269,68.97,urban,clear,28,1.2,0
320,79.44,highway,clear,10,0.83,0
290,52.09,school_zone,clear,24,3.28,0
311,112.12,urban,clear,14,17.28,1
196,100.39,highway,night,17,19.99,1
15,83.94,highway,clear,11,6.47,0
180,51.06,residential,clear,26,9.94,0
66,82.21,school_zone,clear,3,4.77,0
325,55.57,urban,clear,27,5.29,1
86,107.25,highway,clear,6,4.14,0
83,94.18,highway,clear,27,10.8,1
91,79.91,urban,rain,0,14.07,1
235,29.27,urban,rain,0,5.2,0
209,58.33,urban,rain,2,5.27,1
347,91.76,urban,rain,16,4.32,0
152,102.26,highway,clear,8,14.31,0
103,100.18,urban,clear,18,9.08,1
18,46.16,highway,clear,25,2.02,1
2,84.03,urban,clear,0,16.93,0
136,98.31,school_zone,clear,16,0.3,1
338,44.83,urban,clear,22,13.35,0
191,77.84,residential,rain,13,10.2,0
327,83.48,urban,clear,28,5.21,1
37,71.98,highway,clear,20,5.11,1
34,40.96,urban,rain,1,4.49,0
305,71.49,urban,clear,16,2.12,1
39,71.45,highway,fog,11,16.03,0
19,75.04,school_zone,night,4,4.99,1
147,66.73,residential,night,29,2.08,0
338,69.14,urban,clear,6,15.38,0
252,77.21,urban,clear,2,7.02,0
36,86.85,school_zone,rain,6,7.33,1
306,71.91,highway,rain,25,17.76,1
308,69.81,urban,rain,18,8.09,1
293,79.85,school_zone,clear,25,2.93,0
330,39.58,highway,clear,14,8.08,1
87,87.54,highway,clear,3,2.3,1
358,77.99,urban,clear,12,3.43,0
117,78.79,urban,clear,6,6.32,0
293,97.21,urban,night,17,9.83,1
212,38.94,school_zone,clear,8,3.08,1
285,38.52,urban,rain,30,4.39,0
229,83.48,school_zone,night,11,4.35,1
235,77.86,school_zone,clear,9,11.05,0
225,81.4,school_zone,clear,30,5.1,1
285,68.76,urban,rain,16,16.78,0
270,91.29,urban,clear,5,3.43,0
49,96.65,highway,clear,14,3.2,0
302,87.68,highway,fog,7,13.19,0
196,72.78,residential,rain,22,7.61,0
118,35.85,urban,fog,17,12.85,1
188,93.38,residential,night,22,1.57,0
353,102.43,urban,clear,29,5.01,1
313,90.89,urban,rain,22,6.31,0
305,60.41,urban,rain,10,5.98,0
169,91.48,school_zone,rain,6,4.45,1
286,95.21,urban,rain,16,5.89,1
140,109.18,urban,rain,13,6.13,1
251,60.48,school_zone,fog,9,3.12,0
234,73.47,highway,clear,25,10.74,0
91,92.95,urban,rain,28,15.5,1
97,79.15,urban,clear,11,8.58,1
22,55.65,highway,rain,21,6.86,1
51,86.29,urban,fog,30,4.76,0
158,89.57,urban,fog,0,6.27,1
174,79.76,highway,clear,11,6.75,0
60,82.39,urban,clear,22,2.13,0
152,72.83,highway,clear,15,10.37,0
221,107.57,urban,clear,24,3.63,0
85,59.99,urban,clear,14,13.67,0
123,66.25,urban,night,1,5.74,0
134,78.22,urban,clear,13,10.5,1
184,95.58,urban,night,12,8.49,0
134,48.05,urban,clear,26,1.59,0
269,51.79,residential,rain,4,12.85,1
119,37.25,school_zone,rain,4,2.68,1
158,78.65,urban,rain,4,3.43,0
138,55.63,highway,rain,17,3.69,1
66,70.31,highway,rain,30,1.05,1
250,91.23,school_zone,night,19,5.95,0
86,65.17,urban,rain,25,10.96,0
108,82.63,urban,clear,26,13.44,1
290,72.01,urban,clear,18,4.45,0
347,91.44,urban,rain,18,5.07,0
245,87.5,urban,clear,7,8.91,1
335,64.16,residential,clear,29,4.55,1
312,74.63,residential,rain,24,11.65,0
176,98.87,urban,clear,27,4.88,1
281,85.87,highway,fog,30,2.36,0
120,50.06,urban,rain,10,6.06,0
168,91.11,highway,rain,4,1.28,1
195,56.31,highway,rain,26,6.0,0
351,106.25,urban,fog,14,6.88,1
310,98.48,school_zone,rain,29,2.69,1
179,83.8,residential,night,21,6.68,0
238,81.14,highway,clear,7,4.12,1
74,73.82,highway,rain,10,2.59,0
294,91.57,highway,rain,18,1.1,1
202,70.58,urban,clear,12,1.43,0
194,82.71,urban,clear,8,14.62,1
280,95.44,highway,rain,6,3.98,0
231,66.76,urban,clear,20,6.75,0
26,65.68,school_zone,night,1,4.42,0
105,54.11,urban,clear,2,14.86,0
64,56.71,urban,clear,1,2.6,0
268,41.43,urban,rain,22,5.41,1
12,92.6,residential,clear,0,3.41,0
74,114.18,urban,clear,13,10.42,0
218,106.51,urban,rain,3,6.7,0
254,45.48,urban,clear,18,5.26,1
184,92.5,highway,clear,1,1.64,1
315,106.44,residential,rain,0,19.38,0
336,68.86,urban,rain,12,4.52,1
48,80.03,residential,fog,21,2.23,0
348,37.84,urban,clear,3,1.1,0
224,83.33,highway,clear,15,1.39,1
232,56.73,urban,night,25,5.22,1
34,81.99,highway,rain,19,10.53,1
227,46.78,highway,clear,23,6.38,0
265,88.86,highway,fog,9,1.17,1
212,98.49,urban,clear,29,5.21,0
30,62.34,school_zone,fog,4,12.77,0
191,55.26,residential,rain,18,3.87,1
342,34.88,highway,night,13,6.39,0
264,72.67,highway,night,0,4.01,1
50,66.37,school_zone,clear,29,7.46,1
351,46.98,urban,fog,21,2.57,0
350,87.06,residential,clear,7,0.05,0
61,69.0,urban,rain,1,1.74,0
293,56.49,school_zone,rain,20,3.48,1
